Epoch 120/300: Train Loss: 0.0027, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9790
Epoch 121/300: Train Loss: 0.0026, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 122/300: Train Loss: 0.0028, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 123/300: Train Loss: 0.0027, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9790
Epoch 124/300: Train Loss: 0.0024, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 125/300: Train Loss: 0.0026, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 126/300: Train Loss: 0.0024, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 127/300: Train Loss: 0.0026, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 128/300: Train Loss: 0.0026, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 129/300: Train Loss: 0.0025, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9790
Epoch 130/300: Train Loss: 0.0024, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 131/300: Train Loss: 0.0025, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 132/300: Train Loss: 0.0025, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 133/300: Train Loss: 0.0024, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9790
Epoch 134/300: Train Loss: 0.0026, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9790
Epoch 135/300: Train Loss: 0.0026, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 136/300: Train Loss: 0.0025, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 137/300: Train Loss: 0.0024, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9790
Epoch 138/300: Train Loss: 0.0024, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 139/300: Train Loss: 0.0020, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9790
Epoch 140/300: Train Loss: 0.0021, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 141/300: Train Loss: 0.0022, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9790
Epoch 142/300: Train Loss: 0.0022, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9790
Epoch 143/300: Train Loss: 0.0025, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 144/300: Train Loss: 0.0023, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 145/300: Train Loss: 0.0022, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 146/300: Train Loss: 0.0023, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 147/300: Train Loss: 0.0022, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 148/300: Train Loss: 0.0024, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9790
Epoch 149/300: Train Loss: 0.0023, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9790
Epoch 150/300: Train Loss: 0.0021, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 151/300: Train Loss: 0.0021, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9790
Epoch 152/300: Train Loss: 0.0020, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9790
Epoch 153/300: Train Loss: 0.0020, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 154/300: Train Loss: 0.0019, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9790
Epoch 155/300: Train Loss: 0.0019, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 156/300: Train Loss: 0.0020, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 157/300: Train Loss: 0.0020, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9790
Epoch 158/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9790
Epoch 159/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9832, Best Test Acc: 0.9832
Epoch 160/300: Train Loss: 0.0020, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 161/300: Train Loss: 0.0019, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 162/300: Train Loss: 0.0019, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9832
Epoch 163/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 164/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 165/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 166/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 167/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 168/300: Train Loss: 0.0019, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 169/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9832
Epoch 170/300: Train Loss: 0.0019, Train Acc: 1.0000, Test Acc: 0.9832, Best Test Acc: 0.9832
Epoch 171/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 172/300: Train Loss: 0.0019, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 173/300: Train Loss: 0.0019, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 174/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 175/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 176/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 177/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9832
Epoch 178/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 179/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 180/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 181/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 182/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 183/300: Train Loss: 0.0019, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 184/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
